18.190,6.320,0
15.520,28.030,7
9.000,28.010,5
16.930,2.090,24
8.640,19.850,3
18.430,29.930,23
3.940,10.770,3
14.780,7.610,26
2.410,25.060,24
18.410,11.880,16
14.910,17.240,21
7.140,0.480,6
13.440,24.760,17
17.540,29.430,27
16.710,9.500,27
12.380,26.660,1
25.690,6.340,6
11.620,24.000,27
10.240,3.020,23
3.540,26.160,18
17.860,19.360,13
3.770,7.840,1
14.200,19.640,13
15.880,5.540,21
1.320,19.320,23
20.500,25.330,16
16.760,19.840,8
27.500,17.660,24
19.410,20.670,15
20.490,14.030,24
20.900,7.670,8
2.750,25.400,5
16.100,19.740,3
0.430,1.120,9
13.570,9.410,11
0.300,9.160,7
0.450,23.350,10
22.690,23.130,13
19.120,20.200,13
7.000,21.440,8
28.880,0.860,24
19.600,2.110,14
22.780,15.420,27
13.510,8.050,1
0.510,11.060,5
4.310,23.120,20
19.680,25.620,5
16.320,3.730,3
7.140,25.900,13
1.040,13.470,6
17.460,2.560,28
23.490,17.750,5
